"","Genes","median","high","nintynine","five","max","min","low","mean","Genes","median","high","nintynine","five","max","min","low","mean"
"1","Canx",0.307947535485417,1.04934960017725,0.503243982934879,0.176745075769695,0.800925925925926,0.107569721115538,-0.411085887003721,0.321227881591713,"Canx",0.307947535485417,1.04934960017725,0.503243982934879,0.176745075769694,0.800925925925926,0.107569721115538,-0.41108588700372,0.321227881591713
"2","Dnajc5",0.994703589266531,3.57040424295147,1.39436116047012,0.111232323232323,1.81340057636888,0.0156695156695157,-1.63810255515923,0.928413215194392,"Dnajc5",0.994703589266532,3.57040424295149,1.39436116047012,0.111232323232323,1.81340057636888,0.0156695156695157,-1.63810255515925,0.928413215194392
"3","Egfr",0.107638677155111,0.385191650216307,0.1775379696243,0.0569061784897025,0.248337028824834,0.0342857142857143,-0.16227708080538,0.113022238028571,"Egfr",0.107638677155111,0.385191650216305,0.177537969624301,0.0569061784897025,0.248337028824834,0.0342857142857143,-0.162277080805379,0.113022238028571
"4","Errfi1",0.360552464228935,0.951782157971477,0.646094482930423,0.225286371816169,3.03695652173913,0,-0.214643168320351,0.388134329927957,"Errfi1",0.360552464228935,0.951782157971478,0.646094482930423,0.225286371816168,3.03695652173913,0,-0.214643168320353,0.388134329927957
"5","Gapdh",0.261278195488722,0.83683583227789,0.429103754086656,0.161557252029679,1.39186991869919,0,-0.301139443682622,0.279238010257979,"Gapdh",0.261278195488722,0.836835832277891,0.429103754086656,0.161557252029679,1.39186991869919,0,-0.301139443682623,0.279238010257979
"6","Kpnb1",0.926034876661554,2.77006066803164,1.32429273493161,0.200212014134276,2,0,-0.948124078073948,0.868014983367987,"Kpnb1",0.926034876661554,2.77006066803161,1.32429273493161,0.200212014134276,2,0,-0.948124078073925,0.868014983367987
"7","Myc",0.134247583018075,0.435235141369507,0.196209136215614,0.0661771874238362,0.261538461538462,0.0332326283987915,-0.164689370889164,0.134439859519894,"Myc",0.134247583018075,0.435235141369508,0.196209136215613,0.0661771874238362,0.261538461538462,0.0332326283987915,-0.164689370889165,0.134439859519894
"8","Nras",0.179157538721704,0.597528802508611,0.293706675021018,0.110705016734098,0.379652605459057,0.0651340996168582,-0.231533723975868,0.185679742418782,"Nras",0.179157538721703,0.59752880250861,0.293706675021018,0.110705016734098,0.379652605459057,0.0651340996168582,-0.231533723975867,0.185679742418782
"9","P53",0.388145315487572,1.13599381463883,0.616142693325159,0.127990595044312,1.80574324324324,0.062374245472837,-0.367159047395343,0.386875175256596,"P53",0.388145315487572,1.13599381463883,0.616142693325159,0.127990595044312,1.80574324324324,0.062374245472837,-0.367159047395341,0.386875175256596
"10","Rab7a",0.42755585646581,1.33688714520862,0.67825271059216,0.265787062211749,1.03531300160514,0.181657848324515,-0.467114963647808,0.443562847158437,"Rab7a",0.427555856465809,1.33688714520862,0.67825271059216,0.26578706221175,1.03531300160514,0.181657848324515,-0.467114963647808,0.443562847158437
"11","RhoA",1.0122699571229,2.1459126360213,1.25848345203184,0.726465387215894,2.93388429752066,0.142487046632124,-0.119274059102574,1.01380720170195,"RhoA",1.0122699571229,2.14591263602131,1.25848345203184,0.726465387215894,2.93388429752066,0.142487046632124,-0.119274059102576,1.01380720170195
"12","Rpap3",0.672788480573002,1.69715425955655,1.04239411028652,0.43339863935312,1.23333333333333,0.299410029498525,-0.330130069261884,0.691661566176726,"Rpap3",0.672788480573002,1.69715425955655,1.04239411028652,0.43339863935312,1.23333333333333,0.299410029498525,-0.330130069261885,0.691661566176726
"13","Sec16a",0.276431071468895,0.94856566352824,0.444090987772829,0.144031736405902,0.776595744680851,0.093816631130064,-0.387228699894774,0.286996992723598,"Sec16a",0.276431071468895,0.94856566352824,0.44409098777283,0.144031736405903,0.776595744680851,0.093816631130064,-0.387228699894774,0.286996992723598
"14","Slc2a1",0.174629324546952,0.513717948717949,0.295007782419923,0.106266666666667,1,0,-0.156153846153847,0.186054141510892,"Slc2a1",0.174629324546952,0.513717948717949,0.295007782419923,0.106266666666667,1,0,-0.156153846153846,0.186054141510892
