"","Mean_Untreated_Freq","Median_Untreated_Freq","SD_Untreated_freq"
"Canx",0.354875189795548,0.339329075874758,0.0887932699463382
"Dnajc5",0.790483215901106,0.800001485253554,0.286885696461654
"Egfr",0.119915325410684,0.112109440837259,0.0409926564995139
"Errfi1",0.402446449744785,0.333171990964827,0.381618700566161
"Gapdh",0.29666662519094,0.273609426442558,0.0902284260275764
"Kpnb1",0.952517919405727,1,0.435236608550261
"Myc",0.148283236876262,0.147317958020212,0.0431630290477101
"Nras",0.192575937852534,0.189310553606359,0.063136558981066
"P53",0.477187325112049,0.464705882352941,0.130719069310267
"Rab7a",0.427768696357943,0.408268742181354,0.144905209410313
"Rpap3",0.533475045683103,0.521543305523543,0.0931466948474176
"RhoA",1.06840213646527,1.08543970825611,0.213268726590496
"Sec16a",0.287694910219591,0.280963554363725,0.0880742423605269
"Slc2a1",0.197276842351286,0.192306353676951,0.0433718683435944
