"","HBEC_Mean_Ctrl_freq","SE_HBEC_Ctrl","HBEC_dFre2","HBEC_dFre2"
"Canx",1.98886120143611,0.025456529860233,0.0640019949857154,0.0587633424575236
"Dnajc5",1.69748791553239,0.0256720923149401,0.175796575073092,0.133426016625608
"Egfr",1.6687155670619,0.01411528147762,0.0488022974802514,0.0482763076529994
"Errfi1",0.266713244824304,0.00568344849866634,0.338495408503241,0.383633158423697
"Gapdh",1.27208570996722,0.0122249908495145,0.108918574660337,0.108665568986578
"Kpnb1",1.06130361633555,0.0135061989981087,0.191794278751685,0.179877609721837
"Myc",0.395883137906361,0.00890827808709863,0.16903637029333,0.148669898481757
"Nras",0.503053452068152,0.0238570790167244,0.285745034276445,0.214169247899961
"P53",0.315586235179982,0.00743722120397167,0.224869419607002,0.204431417057501
"Rab7a",2.04556040016948,0.0120441808170015,0.0769677588393935,0.0430729771593097
"RhoA",1.92069996224674,0.0144667522750756,0.0409454141617482,0.0394080768539325
"Rpap3",0.310987403820922,0.016138058668049,0.333615027175553,0.314079428378772
"Sec16a",0.373851516791829,0.0258538031716983,0.415140310935111,0.381064385156668
"Slc2a1",0.630907691776927,0.0410943531616939,0.370974381808958,0.353784645301294
