"","Mean_Untreated_M","Median_Untreated_M","SD_Untreated_M"
"Canx",167.744272900955,167.952214090127,9.2916226651505
"Dnajc5",152.114659590202,146.977451997147,19.0118036302215
"Egfr",114.552327873212,112.051198214286,13.8735077391671
"Errfi1",95.1591181045167,93.1208953259668,8.80530036949088
"Gapdh",170.046699612492,169.052705782828,14.093135508019
"Kpnb1",97.5362396465881,97.9515379362671,5.67722736818432
"Myc",90.0103456306754,90.1747798593257,6.31052455175496
"Nras",132.693084507575,131.037534090909,13.7510639190695
"P53",97.0807581811631,95.0703270471464,6.55818596785437
"Rab7a",163.866906591347,162.638253042248,11.8043591924078
"Rpap3",43.9912670959741,44.0812461814915,1.7831257188764
"RhoA",95.3407542998085,93.6225179536644,8.11925943938051
"Sec16a",173.470703479741,170.043912568306,18.4768718543238
"Slc2a1",172.147961215295,171.1227558922,14.0383255512311
