"","HCT116_Mean_Ctrl_Int","SE_HCT116_Ctrl","HCT116_dInt1","HCT116_dInt2"
"Canx",22.3901776961261,0.162767102510482,0.086719435279534,0.0723546234103016
"Dnajc5",95.5961454270771,0.626162938800533,0.0447258095789432,0.0455264094081129
"Egfr",163.104012426558,0.975520968178908,0.0884123982333282,0.085211746156499
"Errfi1",181.491572218423,1.21897279013787,0.0986431484061378,0.0860365014817499
"Gapdh",168.159614171645,0.844515254711603,0.048476055926545,0.0497007118452128
"Kpnb1",160.270869620984,1.18031290953533,0.069044594829492,0.0674357751576539
"Myc",100.983008827857,0.595055711624814,0.0991076039660326,0.0933303876295208
"Nras",94.5822745455873,0.529180784649497,0.0487614355771783,0.0449763048962682
"P53",86.0865845586351,1.37446645115405,0.0664789651463229,0.0632805993649388
"Rab7a",142.299340207985,0.896176631447075,0.0446509600849687,0.0423627242911931
"RhoA",25.9287690523376,0.272972347407356,0.147631400173584,0.136526889903104
"Rpap3",21.2242487003784,0.12709429093029,0.0488170272184788,0.062500738437217
"Sec16a",13.9796362667177,0.0458624334622069,0.0311425119197375,0.027692469314513
"Slc2a1",25.3044593413364,0.17754367741141,0.0782122750719676,0.0713068405996356
